,type,level,price,hands required,system,category,damage,damage type,range,critical effect,critical damage,capacity,usage,ammo type,power type,bulk,special,source,area,eac bonus,kac bonus,max dex bonus,armor check penalty,speed adjustment,armor slots,weapon slots,upgrade slots,shield bonus,aligned shield bonus,speed,max speed,str,cover,hp,hardness,passengers
"kinkiller, elite",Sniper,15,107100,2,-,Projectile,6d10,P,100,Enfeeble,-,6,1,Rounds,-,2,"Sniper (1,000 ft.), unwieldy",NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"kinkiller, paragon",Sniper,20,825000,2,-,Projectile,11d10,P,120,Enfeeble,-,8,1,Rounds,-,2,"Sniper (1,500 ft.), unwieldy",NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"kinkiller, tactical",Sniper,5,3010,2,-,Projectile,1d10,P,80,Enfeeble,-,3,1,Rounds,-,2,"Sniper (250 ft.), unwieldy",NS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"kishaxe, assault",Advanced Melee,9,13000,2,-,Uncategorized,2d10,S,-,Wound,-,-,-,-,-,2,"Analog, archaic",AP04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"kishaxe, havoc",Advanced Melee,14,70000,2,-,Uncategorized,4d10,S,-,Severe wound,-,-,-,-,-,2,"Analog, archaic",AP04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"kishaxe, onslaught",Advanced Melee,19,540000,2,-,Uncategorized,9d10,S,-,Severe wound,-,-,-,-,-,2,"Analog, archaic",AP04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"kishaxe, skirmish",Advanced Melee,4,2000,2,-,Uncategorized,1d10,S,-,-,-,-,-,-,-,2,"Analog, archaic",AP04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"knife, survival",Basic Melee,1,95,1,-,Uncategorized,1d4,S,-,-,-,-,-,-,-,L,"Analog, operative",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"knife, tactical",Basic Melee,7,6000,1,-,Uncategorized,2d4,S,-,-,-,-,-,-,-,L,"Analog, operative",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"lance, advanced",Basic Melee,8,9400,2,-,Uncategorized,2d6,P,-,-,-,-,-,-,-,1,"Analog, reach",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"lance, elite",Basic Melee,13,50800,2,-,Uncategorized,5d6,P,-,-,-,-,-,-,-,1,"Analog, reach",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"lance, paragon",Basic Melee,18,365000,2,-,Uncategorized,11d6,P,-,-,-,-,-,-,-,1,"Analog, reach",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"lance, tactical",Basic Melee,3,1450,2,-,Uncategorized,1d6,P,-,-,-,-,-,-,-,1,"Analog, reach",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"laser pistol, aphelion",Small Arms,9,14820,1,-,Laser,3d4,F,90,Burn,1d4,40,2,Battery charge,-,L,Boost 1d4,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"laser pistol, azimuth",Small Arms,1,350,1,-,Laser,1d4,F,80,Burn,1d4,20,1,Battery charge,-,L,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"laser pistol, corona",Small Arms,6,4270,1,-,Laser,2d4,F,90,Burn,1d4,20,1,Battery charge,-,L,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"laser pistol, paralax",Small Arms,14,82000,1,-,Laser,5d4,F,90,Burn,3d4,80,4,Battery charge,-,L,Boost 2d4,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"laser pistol, perihelion",Small Arms,12,40200,1,-,Laser,4d4,F,90,Burn,2d4,40,2,Battery charge,-,L,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"laser pistol, zenith",Small Arms,17,254200,1,-,Laser,8d4,F,100,Burn,4d4,80,4,Battery charge,-,L,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"laser rifle, aphelion",Longarms,9,14300,2,-,Laser,3d6,F,120,Burn,1d6,40,1,Battery charge,-,1,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"laser rifle, azimuth",Longarms,1,425,2,-,Laser,1d8,F,120,Burn,1d6,20,1,Battery charge,-,1,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"laser rifle, corona",Longarms,6,4650,2,-,Laser,2d6,F,120,Burn,1d6,40,1,Battery charge,-,1,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"laser rifle, parallax",Longarms,17,248000,2,-,Laser,8d6,F,150,Burn,4d6,100,2,Battery charge,-,1,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"laser rifle, perihelion",Longarms,13,53800,2,-,Laser,5d6,F,130,Burn,2d6,100,2,Battery charge,-,1,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"laser rifle, zenith",Longarms,20,722000,2,-,Laser,11d6,F,150,Burn,5d6,100,2,Battery charge,-,1,-,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"lens pistol, cylindrical",Small Arms,4,1850,1,-,Laser,1d8,F,80,Burn,1d4,20,2,Battery charge,-,L,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"lens pistol, electron",Small Arms,16,146000,1,-,Laser,4d8,F,100,Burn,2d8,80,5,Battery charge,-,L,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"lens pistol, lenticular",Small Arms,10,17100,1,-,Laser,2d8,F,80,Burn,1d8,40,4,Battery charge,-,L,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"lens pistol, sunglass",Small Arms,20,728000,1,-,Laser,7d8,F,120,Burn,3d8,80,8,Battery charge,-,L,Unwieldy,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"lightning pistol, ribbon",Small Arms,8,9700,1,-,Shock,1d8,E,30,-,-,40,5,Battery charge,-,L,"Line, stun, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"lightning pistol, rocket",Small Arms,12,37000,1,-,Shock,2d8,E,30,-,-,40,8,Battery charge,-,L,"Line, stun, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"lightning pistol, sheet",Small Arms,5,3000,1,-,Shock,1d6,E,20,-,-,40,4,Battery charge,-,L,"Line, stun, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"lightning pistol, smoothchannel",Small Arms,17,260000,1,-,Shock,3d10,E,40,-,-,40,10,Battery charge,-,L,"Line, stun, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
living lash,Advanced Melee,6,4150,1,-,Uncategorized,1d8,S,-,Bind,-,20,1,Battery charge,-,L,"Living, powered, reach, thought, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"living staff, advanced",Basic Melee,12,39500,2,-,Uncategorized,4d6,B,-,Bind,-,20,1,Battery charge,-,1,"Block, living, powered, reach",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"living staff, elite",Basic Melee,16,181000,2,-,Uncategorized,12d6,B,-,Bind,-,20,1,Battery charge,-,1,"Block, living, powered, reach",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"living staff, paragon",Basic Melee,20,919000,2,-,Uncategorized,14d6,B,-,Bind,-,20,1,Battery charge,-,1,"Block, living, powered, reach",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"living staff, tactical",Basic Melee,5,3300,2,-,Uncategorized,1d6,S,-,Bind,-,20,1,Battery charge,-,1,"Block, living, powered, reach",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
longsword,Advanced Melee,1,375,1,-,Uncategorized,1d8,S,-,-,-,-,-,-,-,1,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"longsword, dimensional slice",Advanced Melee,20,727300,1,-,Uncategorized,14d8,S,-,-,-,-,-,-,-,1,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"longsword, microserrated",Advanced Melee,9,12100,1,-,Uncategorized,2d10,S,-,Bleed,2d6,-,-,-,-,1,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"longsword, molecular rift",Advanced Melee,17,245200,1,-,Uncategorized,10d8,S,-,-,-,-,-,-,-,1,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"longsword, sintered",Advanced Melee,7,8420,1,-,Uncategorized,2d8,S,-,-,-,-,-,-,-,1,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"longsword, ultraserrated",Advanced Melee,18,268100,1,-,Uncategorized,8d10,S,-,Bleed,6d6,-,-,-,-,1,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"longsword, ultrathin",Advanced Melee,11,26300,1,-,Uncategorized,4d8,S,-,-,-,-,-,-,-,1,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"longsword, zeroedge",Advanced Melee,14,79500,1,-,Uncategorized,7d8,S,-,Severe wound,-,-,-,-,-,L,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"machine gun, heavy",Heavy,17,220300,2,-,Projectile,7d10,P,120,-,-,100,4,Rounds,-,2,"Analog, automatic",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"machine gun, light",Heavy,8,8600,2,-,Projectile,2d10,P,60,-,-,60,2,Rounds,-,2,"Analog, automatic",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"machine gun, medium",Heavy,11,23100,2,-,Projectile,3d10,P,60,-,-,60,2,Rounds,-,2,"Analog, automatic",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"machine gun, squad",Heavy,4,2060,2,-,Projectile,1d10,P,60,-,-,40,2,Rounds,-,2,"Analog, automatic",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"magma blade, andesite",Advanced Melee,8,10900,1,-,Flame,2d8,F & S,-,Wound,-,40,2,Battery charge,-,1,Powered,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"magma blade, basalt",Advanced Melee,14,79400,1,-,Flame,7d8,F & S,-,Wound,-,40,2,Battery charge,-,1,Powered,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"magma blade, plagioclase",Advanced Melee,19,610000,1,-,Flame,13d8,F & S,-,Wound,-,80,2,Battery charge,-,1,Powered,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"magma blade, rhyolite",Advanced Melee,4,2300,1,-,Flame,1d8,F & S,-,Wound,-,20,2,Battery charge,-,1,Powered,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"magnetar rifle, advanced",Longarms,13,53700,2,-,Projectile,4d8,P,60,-,-,24,1,Rounds,-,2,"Analog, automatic",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"magnetar rifle, elite",Longarms,16,185100,2,-,Projectile,6d8,P,120,-,-,36,1,Rounds,-,2,"Analog, automatic",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"magnetar rifle, paragon",Longarms,19,612600,2,-,Projectile,8d8,P,120,-,-,48,1,Rounds,-,2,"Analog, automatic",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"magnetar rifle, tactical",Longarms,9,11800,2,-,Projectile,2d8,P,60,-,-,18,1,Rounds,-,2,"Analog, automatic",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"maul, advanced",Basic Melee,10,17200,2,-,Uncategorized,3d8,B,-,Knockdown,-,-,-,-,-,1,"Analog, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"maul, elite",Basic Melee,15,95000,2,-,Uncategorized,7d8,B,-,Knockdown,-,-,-,-,-,1,"Analog, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"maul, paragon",Basic Melee,20,724000,2,-,Uncategorized,15d8,B,-,Knockdown,-,-,-,-,-,1,"Analog, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"maul, tactical",Basic Melee,5,2750,2,-,Uncategorized,1d8,B,-,Knockdown,-,-,-,-,-,1,"Analog, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"mercy pistol, illuminator",Small Arms,1,275,1,-,Flame,1d6,F,20,-,-,20,2,Battery charge,-,L,Nonlethal,AP13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"mercy pistol, infrared",Small Arms,6,4300,1,-,Flame,2d6,F,20,-,-,20,2,Battery charge,-,L,Nonlethal,AP13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"mercy pistol, ultraviolet",Small Arms,11,25000,1,-,Flame,4d6,F,30,-,-,20,2,Battery charge,-,L,Nonlethal,AP13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"meteor glaive, advanced",Advanced Melee,10,18200,2,-,Flame,3d8,F & S,-,Wound,-,40,4,Petrol,-,2,"Fueled, reach",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"meteor glaive, elite",Advanced Melee,15,112000,2,-,Flame,5d10,F & S,-,Wound,-,40,4,Petrol,-,2,"Fueled, reach",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"meteor glaive, paragon",Advanced Melee,18,385000,2,-,Flame,10d10,F & S,-,Severe wound,-,40,4,Petrol,-,2,"Fueled, reach",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"meteor glaive, tactical",Advanced Melee,6,4390,2,-,Flame,1d12,F & S,-,Wound,-,40,4,Petrol,-,2,"Fueled, reach",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"microfusion rifle, heavy",Longarms,18,410000,2,-,Plasma,5d8,E & F,40,Irradiate,-,40,4,Battery charge,-,2,"Blast, radioactive, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"microfusion rifle, light",Longarms,4,2350,2,-,Plasma,1d8,E & F,15,Irradiate,-,40,4,Battery charge,-,2,"Blast, radioactive, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"microfusion rifle, medium",Longarms,12,40800,2,-,Plasma,3d8,E & F,30,Irradiate,-,40,4,Battery charge,-,2,"Blast, radioactive, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"mindspike, microserrated",Advanced Melee,10,18450,1,-,Uncategorized,3d8,P,-,Staggered,-,-,-,-,-,L,Analog,AP19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"mindspike, nanoserrated",Advanced Melee,14,77800,1,-,Uncategorized,7d8,P,-,Staggered,-,-,-,-,-,L,Analog,AP19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"mindspike, tactical",Advanced Melee,6,4400,1,-,Uncategorized,1d8,P,-,Staggered,-,-,-,-,-,L,Analog,AP19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"mindspike, ultraserrated",Advanced Melee,18,392100,1,-,Uncategorized,11d8,P,-,Staggered,-,-,-,-,-,L,Analog,AP19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"minelayer, command",Heavy,17,243000,2,-,Uncategorized,-,-,80,-,-,20,1,Grenades,-,2,Mine,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"minelayer, merc",Heavy,3,1470,2,-,Uncategorized,-,-,40,-,-,8,1,Grenades,-,2,Mine,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"minelayer, platoon",Heavy,13,51400,2,-,Uncategorized,-,-,60,-,-,16,1,Grenades,-,2,Mine,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"minelayer, squad",Heavy,7,6930,2,-,Uncategorized,-,-,50,-,-,12,1,Grenades,-,2,Mine,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"mirage dagger, distortion",Advanced Melee,6,4450,1,-,Flame,1d4,F,-,-,-,20,1,Battery charge,-,L,"Feint, operative, powered",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"mirage dagger, hallucination",Advanced Melee,13,50800,1,-,Flame,4d4,F,-,-,-,20,1,Battery charge,-,L,"Feint, operative, powered",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"mirage dagger, illusion",Advanced Melee,20,897000,1,-,Flame,10d4,F,-,-,-,20,1,Battery charge,-,L,"Feint, operative, powered",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
monowhip,Advanced Melee,15,107000,1,-,Uncategorized,10d4,S,-,Severe wound,-,-,-,-,-,L,"Analog, disarm, reach, trip",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"multistage rifle, dual",Sniper,4,2380,2,-,Projectile,1d10,B,50,-,-,2,2,Minirockets,-,2,"Indirect, sniper (500 ft.), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"multistage rifle, dualplus",Sniper,7,7500,2,-,Projectile,2d8,B,50,-,-,2,2,Minirockets,-,2,"Indirect, sniper (500 ft.), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"multistage rifle, quad",Sniper,18,627000,2,-,Projectile,9d8,B,80,-,-,4,4,Minirockets,-,2,"Indirect, sniper (1,000 ft.), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"multistage rifle, triple",Sniper,11,27900,2,-,Projectile,3d8,B,60,-,-,3,3,Minirockets,-,2,"Indirect, sniper (750 ft.), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"multistage rifle, tripleplus",Sniper,15,124000,2,-,Projectile,7d8,B,70,-,-,3,3,Minirockets,-,2,"Indirect, sniper (750 ft.), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"nanite decoupler, caustic",Heavy,9,15000,2,-,Disintegrator,2d6,A,60,Corrode,1d6,10,2,Nanites,-,3,"Explode (10 ft.), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"nanite decoupler, vitriolic",Heavy,19,650000,2,-,Disintegrator,2d20,A,80,Corrode,3d6,10,5,Nanites,-,3,"Explode (20 ft.), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"nanite rifle, advanced",Sniper,15,131000,2,-,Uncategorized,3d12,A,80,Severe wound,-,10,5,Nanites,-,2,"Sniper (750 ft.), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"nanite rifle, elite",Sniper,19,648000,2,-,Uncategorized,6d12,A,100,Severe wound,-,10,2,Nanites,-,2,"Sniper (1,000 ft.), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"nanite rifle, tactical",Sniper,10,20100,2,-,Uncategorized,2d12,A,60,Wound,-,10,10,Nanites,-,2,"Sniper (500 ft.), unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"nanite thrower, advanced",Longarms,12,35400,2,-,Uncategorized,-,-,60,Wound,-,10,1,Nanites,-,1,Deconstruct 3d6,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"nanite thrower, elite",Longarms,15,110000,2,-,Uncategorized,-,-,80,Severe wound,-,10,2,Nanites,-,1,Deconstruct 4d6,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"nanite thrower, paragon",Longarms,20,830000,2,-,Uncategorized,-,-,80,Severe wound,-,10,2,Nanites,-,1,Deconstruct 5d6,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"nanite thrower, tactical",Longarms,9,13300,2,-,Uncategorized,-,-,60,Wound,-,10,1,Nanites,-,1,Deconstruct 2d6,AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"needler estoc, hyperpointed",Advanced Melee,10,17500,1,-,Uncategorized,4d6,P,-,Injection DC +2,-,-,-,-,-,L,Injection,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"needler estoc, masterpointed",Advanced Melee,20,750000,1,-,Uncategorized,18d6,P,-,Injection DC +2,-,-,-,-,-,L,Injection,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"needler estoc, sharppointed",Advanced Melee,6,4000,1,-,Uncategorized,1d8,P,-,Injection DC +2,-,-,-,-,-,L,Injection,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"needler estoc, standard",Advanced Melee,2,175,1,-,Uncategorized,1d6,P,-,Injection DC +2,-,-,-,-,-,L,Injection,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"needler estoc, supremepointed",Advanced Melee,18,342000,1,-,Uncategorized,14d6,P,-,Injection DC +2,-,-,-,-,-,L,Injection,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"needler estoc, ultrapointed",Advanced Melee,14,67000,1,-,Uncategorized,9d6,P,-,Injection DC +2,-,-,-,-,-,L,Injection,COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
needler pistol,Small Arms,1,105,1,-,Uncategorized,1d4,P,30,Injection DC +2,-,6,1,Darts,-,L,"Analog, injection",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
needler rifle,Longarms,1,110,2,-,Uncategorized,1d6,P,60,Injection DC +2,-,12,1,Darts,-,1,"Analog, injection",CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"needler rifle, advanced",Longarms,5,3000,2,-,Projectile,1d8,P,70,Injection DC +2,-,14,1,Darts,-,1,"Analog, injection",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"needler rifle, elite",Longarms,10,18000,2,-,Projectile,4d6,P,70,Injection DC +2,-,14,1,Darts,-,1,"Analog, injection",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"needler rifle, paragon",Longarms,15,110000,2,-,Projectile,8d6,P,70,Injection DC +2,-,14,1,Darts,-,1,"Analog, injection",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"needler rifle, supreme",Longarms,20,850000,2,-,Projectile,16d6,P,70,Injection DC +2,-,14,1,Darts,-,1,"Analog, injection",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"needler rifle, tactical",Longarms,1,200,2,-,Projectile,1d6,P,70,Injection DC +2,-,14,1,Darts,-,1,"Analog, injection",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"neeler pistol, advanced",Small Arms,5,2700,1,-,Projectile,1d6,P,40,Injection DC +2,-,8,1,Darts,-,1,"Analog, injection",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"neeler pistol, elite",Small Arms,10,17250,1,-,Projectile,2d8,P,40,Injection DC +2,-,8,1,Darts,-,1,"Analog, injection",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"neeler pistol, paragon",Small Arms,15,94500,1,-,Projectile,6d6,P,40,Injection DC +2,-,8,1,Darts,-,1,"Analog, injection",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"neeler pistol, supreme",Small Arms,20,725000,1,-,Projectile,8d8,P,40,Injection DC +2,-,8,1,Darts,-,1,"Analog, injection",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"neeler pistol, tactical",Small Arms,1,175,1,-,Projectile,1d4,P,40,Injection DC +2,-,8,1,Darts,-,1,"Analog, injection",COM,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"neural lash, amperometric",Advanced Melee,9,14600,1,-,Shock,3d4,E,-,Arc,2d4,20,1,Battery charge,-,L,"Living, powered, reach, stun, thought, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"neural lash, electroplax",Advanced Melee,4,2230,1,-,Shock,1d4,E,-,Arc,1d4,20,1,Battery charge,-,L,"Living, powered, reach, stun, thought, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"neural lash, galvanic",Advanced Melee,14,79400,1,-,Shock,8d4,E,-,Arc,4d4,20,1,Battery charge,-,L,"Living, powered, reach, stun, thought, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"neural lash, voltaic",Advanced Melee,20,909000,1,-,Shock,8d10,E,-,Arc,3d10,20,1,Battery charge,-,L,"Living, powered, reach, stun, thought, unwieldy",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"nightarch needler, advanced",Small Arms,8,6270,1,-,Uncategorized,2d6,P,30,Injection DC +2,-,5,1,Darts,-,L,"Analog, injection",PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"nightarch needler, elite",Small Arms,13,44980,1,-,Uncategorized,4d6,P,30,Injection DC +2,-,5,1,Darts,-,L,"Analog, injection",PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"nightarch needler, paragon",Small Arms,18,369000,1,-,Uncategorized,8d6,P,30,Injection DC +2,-,5,1,Darts,-,L,"Analog, injection",PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"nightarch needler, tactical",Small Arms,3,1650,1,-,Uncategorized,1d6,P,30,Injection DC +2,-,5,1,Darts,-,L,"Analog, injection",PW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"nil grenade launcher, merc",Heavy,1,280,2,-,Uncategorized,grenade,grenade,60,-,-,6,1,Grenades,-,2,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"nil grenade launcher, squad",Heavy,8,9400,2,-,Uncategorized,grenade,-,70,-,-,12,1,Grenades,-,3,Analog,CRB,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"nova lance, blue star",Advanced Melee,17,279000,2,-,Plasma,8d6,E & F,-,Severe wound,-,40,4,Battery charge,-,2,"Reach, powered",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"nova lance, red star",Advanced Melee,2,995,2,-,Plasma,1d4,E & F,-,Wound,-,20,1,Battery charge,-,2,"Powered, reach",AR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
